order_var,value,url,scrape_date
1,Paris police shoot woman at station after threats,,2023-10-31 14:13:55
2,South Africa rugby champions get heroes' welcome,,2023-10-31 14:13:55
3,Company found guilty over NZ volcano disaster,,2023-10-31 14:13:55
4,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 14:13:55
5,US to remove four African countries from trade deal,,2023-10-31 14:13:55
6,What China wants from Israel-Hamas war,,2023-10-31 14:13:55
7,Gunman holding hostage in Japan post office,,2023-10-31 14:13:55
8,'Sometimes from behind the camera I just stand and cry',,2023-10-31 14:13:55
9,US rejects Putin claim over anti-Jewish airport mob,,2023-10-31 14:13:55
10,The Halloween peppermints that poisoned a city,,2023-10-31 14:13:55
