order_var,value,url,scrape_date
1,The US is quietly arming Taiwan to the teeth,,2023-11-06 16:51:51
2,Barbra Streisand: I haven't had much fun in my life,,2023-11-06 16:51:51
3,South Africa recalls all diplomats from Israel,,2023-11-06 16:51:51
4,Korean man attacks woman for 'being a feminist',,2023-11-06 16:51:51
5,Fashion firm Boohoo breaks ethical promises,,2023-11-06 16:51:51
6,Human skull found in Florida charity shop,,2023-11-06 16:51:51
7,Uganda leader hits back at US trade pact expulsion,,2023-11-06 16:51:51
8,"Over 30,000lb of chicken nuggets recalled in US",,2023-11-06 16:51:51
9,Ukraine military under pressure over deadly strike,,2023-11-06 16:51:51
10,Russian bombing of Kherson at record high - Ukraine,,2023-11-06 16:51:51
