order_var,value,url,scrape_date
1,US rejects Putin claim over anti-Jewish airport mob,,2023-10-31 05:12:35
2,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 05:12:35
3,Whole family shot dead in Russia-held Ukraine town,,2023-10-31 05:12:35
4,Public holiday in South Africa for World Cup win,,2023-10-31 05:12:35
5,Israeli soldier held hostage in Gaza rescued,,2023-10-31 05:12:35
6,US Army warned Maine suspect should not have guns,,2023-10-31 05:12:35
7,Plan to disqualify Trump from ballot goes to court,,2023-10-31 05:12:35
8,Israeli forces advance deeper into northern Gaza,,2023-10-31 05:12:35
9,"German-Israeli Shani Louk is dead, says mother",,2023-10-31 05:12:35
10,Ice Spice and Adele dress in bold looks for Halloween,,2023-10-31 05:12:35
