order,value,url,scrape_date
1,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 09:24:28
2,Call of Duty maker to be bought by Microsoft,,2023-10-13 09:24:28
3,Pro-Palestinian demo broken up after French ban,,2023-10-13 09:24:28
4,Three ways US Republican Speaker chaos ends,,2023-10-13 09:24:28
5,Journalist fined for insulting Italian PM,,2023-10-13 09:24:28
6,Japan asks to dissolve church probed after Abe killing,,2023-10-13 09:24:28
7,Steve Scalise drops out of US Speaker race,,2023-10-13 09:24:28
8,Air Canada sued over $20m gold and cash heist,,2023-10-13 09:24:28
9,Ex-tax worker admits leaking Trump income records,,2023-10-13 09:24:28
10,Colorado officer found guilty in Elijah McClain death,,2023-10-13 09:24:28
