order,value,url,scrape_date
1,Berlusconi's 'worthless' art a headache for heirs,,2023-10-20 00:08:44
2,Canada withdraws 41 diplomats from India,,2023-10-20 00:08:44
3,Ukraine troop build-up reported across Dnipro river,,2023-10-20 00:08:44
4,The world is losing its humanity - UN agency chief,,2023-10-20 00:08:44
5,Trump ex-lawyer pleads guilty in Georgia election case,,2023-10-20 00:08:44
6,'Mannequin' arrested after Warsaw shop burglary,,2023-10-20 00:08:44
7,Jordan to run again for Speaker as backup plan fails,,2023-10-20 00:08:44
8,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-20 00:08:44
9,Hundreds arrested at protest near US Capitol,,2023-10-20 00:08:44
10,Julia Fox admits to 'red flags' in Kanye relationship,,2023-10-20 00:08:44
