order_var,value,url,scrape_date
1,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 02:21:58
2,Gucci and Moschino designer dies aged 46,,2023-11-11 02:21:58
3,Ex-US senator chases man who molested her on a jog,,2023-11-11 02:21:58
4,German hiking group reported to police as migrants,,2023-11-11 02:21:58
5,Taylor Swift breaks record with Grammy nomination,,2023-11-11 02:21:58
6,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 02:21:58
7,Astronaut who led Apollo 8 mission dies aged 95,,2023-11-11 02:21:58
8,Two far-right terror suspects detained in Belgium,,2023-11-11 02:21:58
9,Ukrainian teen who received call-up to Russian army,,2023-11-11 02:21:58
10,How much closer is Israel to its goal in Gaza?,,2023-11-11 02:21:58
