order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-19 11:26:33
2,Threats fly as US House Speaker race turns ugly,,2023-10-19 11:26:33
3,Naga Munchetty told to suck it up by NHS doctors,,2023-10-19 11:26:33
4,Law firm pulls student job offers over Israel letters,,2023-10-19 11:26:33
5,"Nokia to axe up to 14,000 jobs to cut costs",,2023-10-19 11:26:33
6,"Korean piano sensation, 19, signs record deal",,2023-10-19 11:26:33
7,The top electric car maker that is not Tesla,,2023-10-19 11:26:33
8,Natalee Holloway suspect admits to 2005 killing,,2023-10-19 11:26:33
9,At least 189 bodies found at US 'green' funeral home,,2023-10-19 11:26:33
10,Bowen: Joe Biden's search for a Middle East solution just got harder,,2023-10-19 11:26:33
