order_var,value,url,scrape_date
1,Bumble founder steps down as boss of dating app,,2023-11-06 22:12:45
2,The US is quietly arming Taiwan to the teeth,,2023-11-06 22:12:45
3,Hungary museum head sacked over LGBT content,,2023-11-06 22:12:45
4,Sparks fly as Trump testifies in New York fraud case,,2023-11-06 22:12:45
5,"Backed into a legal corner, Trump comes out swinging",,2023-11-06 22:12:45
6,Barbra Streisand: I haven't had much fun in my life,,2023-11-06 22:12:45
7,Italy to build migrant centres in Albania,,2023-11-06 22:12:45
8,Four charged over Blenheim Palace gold toilet theft,,2023-11-06 22:12:45
9,Father of parade murder suspect helped him get gun,,2023-11-06 22:12:45
10,South Africa recalls all diplomats from Israel,,2023-11-06 22:12:45
