order_var,value,url,scrape_date
1,Four things we learned from Trump sons’ testimony,,2023-11-03 22:20:21
2,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-03 22:20:21
3,What is Hezbollah and will it go to war with Israel?,,2023-11-03 22:20:21
4,Mushroom cook tried to kill ex four times - police,,2023-11-03 22:20:21
5,Lisa Marie feared film would show 'predator' Elvis,,2023-11-03 22:20:21
6,Everyone got duped by Sam Bankman-Fried's big gamble,,2023-11-03 22:20:21
7,Germany's migrant row deepens as illegal arrivals soar,,2023-11-03 22:20:21
8,Workers return to Gaza after expulsion from Israel,,2023-11-03 22:20:21
9,Pablo Escobar's feral hippos face cull in Colombia,,2023-11-03 22:20:21
10,Storms and floods ravage Tuscany leaving six dead,,2023-11-03 22:20:21
