order,value,url,scrape_date
1,Teacher killed in France school stabbing,,2023-10-13 15:56:05
2,How would an Israeli ground assault on Gaza unfold?,,2023-10-13 15:56:05
3,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 15:56:05
4,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-13 15:56:05
5,Russia to build nuclear plant in Burkina Faso,,2023-10-13 15:56:05
6,Pro-Palestinian demo broken up after French ban,,2023-10-13 15:56:05
7,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 15:56:05
8,Seven die after migrant vehicle crashes in Germany,,2023-10-13 15:56:05
9,Three ways US Republican Speaker chaos ends,,2023-10-13 15:56:05
10,Microsoft cleared for biggest ever gaming deal,,2023-10-13 15:56:05
