order,value,url,scrape_date
1,Ukraine uses US long-range missiles for the first time,,2023-10-17 22:08:49
2,Police shoot dead Brussels attacker who killed Swedes,,2023-10-17 22:08:49
3,Britney Spears says in memoir she had abortion,,2023-10-17 22:08:49
4,Exonerated man shot and killed in traffic stop,,2023-10-17 22:08:49
5,'Grab the children and leave': BBC reporter flees Israel bomb warning,,2023-10-17 22:08:49
6,Family seeks answers after Israel kidnap live-stream horror,,2023-10-17 22:08:49
7,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-17 22:08:49
8,Why Egypt is reluctant to open crossing with Gaza,,2023-10-17 22:08:49
9,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-17 22:08:49
10,Dozens killed as Israel strikes Gaza refuge areas,,2023-10-17 22:08:49
