order_var,value,url,scrape_date
1,Pope fires Texan bishop after criticism of reforms,,2023-11-11 16:49:41
2,Iceland declares emergency over volcano threat,,2023-11-11 16:49:41
3,Gucci and Moschino designer dies aged 46,,2023-11-11 16:49:41
4,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 16:49:41
5,How a budget airline took off on TikTok,,2023-11-11 16:49:41
6,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 16:49:41
7,"Kyiv hit by first air attack in 52 days, says Ukraine",,2023-11-11 16:49:41
8,Major police operation for pro-Palestinian protest,,2023-11-11 16:49:41
9,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-11 16:49:41
10,Gaza: 'Most of the children in my family photo are dead',,2023-11-11 16:49:41
