order,value,url,scrape_date
1,"Saudi prince slams Hamas, Israel and the West",,2023-10-21 05:47:32
2,West Bank Palestinians hit by surge of settler attacks,,2023-10-21 05:47:32
3,Italy PM splits from partner after lewd TV remarks,,2023-10-21 05:47:32
4,Israel aims to cut Gaza ties after war with Hamas,,2023-10-21 05:47:32
5,Women and young voters drive Poland's right from power,,2023-10-21 05:47:32
6,Republicans back to square one as Speaker crisis deepens,,2023-10-21 05:47:32
7,Judge fines Donald Trump for breaking gag order,,2023-10-21 05:47:32
8,Czech village priest sorry for smashing pumpkins,,2023-10-21 05:47:32
9,Maryland judge shot and killed outside his home,,2023-10-21 05:47:32
10,The Pakistan army’s one-time arch-rival returns,,2023-10-21 05:47:32
