order,value,url,scrape_date
1,Polish ruling party set to lose majority - exit poll,,2023-10-15 22:15:44
2,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 22:15:44
3,11kg of suspected cocaine found in wheelchair,,2023-10-15 22:15:44
4,Medieval 'love motto' gold ring found,,2023-10-15 22:15:44
5,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 22:15:44
6,England stunned by Afghanistan in World Cup defeat,,2023-10-15 22:15:44
7,US actress Piper Laurie dies at 91,,2023-10-15 22:15:44
8,Ecuador chooses president during wave of violence,,2023-10-15 22:15:44
9,The volunteers giving dignity to Israel’s dead,,2023-10-15 22:15:44
10,Afghanistan hit by third earthquake in a week,,2023-10-15 22:15:44
