order_var,value,url,scrape_date
1,Jewish fears as German support for Israel stirs anger,,2023-11-10 16:04:26
2,Astronaut who led Apollo 8 mission dies aged 95,,2023-11-10 16:04:26
3,First-ever images prove 'lost echidna' not extinct,,2023-11-10 16:04:26
4,German hiking group reported to police as migrants,,2023-11-10 16:04:26
5,US veteran gets world's first eye transplant,,2023-11-10 16:04:26
6,Rashford’s brother faces assault charge in US,,2023-11-10 16:04:26
7,Women in naked assault video ‘will not give up’,,2023-11-10 16:04:26
8,Biden and Xi Jinping to meet in California,,2023-11-10 16:04:26
9,Prince Harry wins latest stage in newspaper case,,2023-11-10 16:04:26
10,Stars hit red carpet at Hunger Games world premiere,,2023-11-10 16:04:26
