order_var,value,url,scrape_date
1,Spanish power deal with separatists sparks anger,,2023-11-09 15:54:37
2,Four takeaways from the third Republican debate,,2023-11-09 15:54:37
3,A turning point in Myanmar as army suffers big losses,,2023-11-09 15:54:37
4,Thirteen-metre wave earns surfer a women's record,,2023-11-09 15:54:37
5,Apple co-founder Steve Wozniak in hospital - reports,,2023-11-09 15:54:37
6,"Flintoff is 'healing', Top Gear co-host says",,2023-11-09 15:54:37
7,Why 'I don't recall' is a common strategy on the stand,,2023-11-09 15:54:37
8,Actors celebrate deal to end long Hollywood strike,,2023-11-09 15:54:37
9,Funeral home owners arrested after 190 corpses found,,2023-11-09 15:54:37
10,'There's disgusting behaviour at my McDonald's',,2023-11-09 15:54:37
