order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 10:34:07
2,Original photo from iconic album cover discovered,,2023-11-08 10:34:07
3,Ohio votes to add abortion rights to constitution,,2023-11-08 10:34:07
4,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 10:34:07
5,Christie's sells rare blue diamond for over $40m,,2023-11-08 10:34:07
6,"2023 may be warmest in 125,000 years",,2023-11-08 10:34:07
7,Millions hit by Australian phone network failure,,2023-11-08 10:34:07
8,How WeWork’s founder flew too close to the sun,,2023-11-08 10:34:07
9,Fears hundreds of children used in AI naked images,,2023-11-08 10:34:07
10,Three takeaways from US election night so far,,2023-11-08 10:34:07
