order_var,value,url,scrape_date
1,Manslaughter arrest over ice hockey player death,,2023-11-14 18:42:59
2,Secret deal links Abramovich to Putin's 'wallets',,2023-11-14 18:42:59
3,Braverman accuses PM of betrayal in scathing letter,,2023-11-14 18:42:59
4,Luis Díaz reunited with father after kidnapping,,2023-11-14 18:42:59
5,Why businesses are pulling billions from China,,2023-11-14 18:42:59
6,Barry Manilow explains why he kept sexuality secret,,2023-11-14 18:42:59
7,Russian convicted of journalist murder gets pardon,,2023-11-14 18:42:59
8,US Army clears convictions of 110 black soldiers,,2023-11-14 18:42:59
9,Pink to give away banned books at Florida shows,,2023-11-14 18:42:59
10,Israel facing mounting pressure over Gaza hospitals,,2023-11-14 18:42:59
