order_var,value,url,scrape_date
1,Murder at elite school horrifies Australia,,2023-10-30 08:04:06
2,Anti-Israel mob storms Dagestan airport,,2023-10-30 08:04:06
3,Portuguese police apologise to Madeleine's parents,,2023-10-30 08:04:06
4,Matthew Perry: Friends fame couldn't quell deep demons,,2023-10-30 08:04:06
5,Magic Johnson declared a billionaire by Forbes,,2023-10-30 08:04:06
6,Friends creators pay tribute to 'brilliant' Perry,,2023-10-30 08:04:06
7,Leonormania hits Spain as crown princess turns 18,,2023-10-30 08:04:06
8,Beaten into a coma for taking extra food at school,,2023-10-30 08:04:06
9,Evergrande given last chance to agree debt deal,,2023-10-30 08:04:06
10,Ice hockey player Johnson dies after neck cut,,2023-10-30 08:04:06
