order_var,value,url,scrape_date
1,Pope fires Texan bishop after criticism of reforms,,2023-11-11 17:14:44
2,Iceland declares emergency over volcano threat,,2023-11-11 17:14:44
3,Gucci and Moschino designer dies aged 46,,2023-11-11 17:14:44
4,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 17:14:44
5,How a budget airline took off on TikTok,,2023-11-11 17:14:44
6,"Kyiv hit by first air attack in 52 days, says Ukraine",,2023-11-11 17:14:44
7,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 17:14:44
8,Major police operation for pro-Palestinian protest,,2023-11-11 17:14:44
9,Missing man died trapped between two fence panels,,2023-11-11 17:14:44
10,"Michael Jackson jacket sells for £250,000 at auction",,2023-11-11 17:14:44
