order_var,value,url,scrape_date
1,'Heck of a reunion': Trump silent as Cohen dishes dirt,,2023-10-25 09:35:35
2,Arnold Schwarzenegger: I'd be a great US president,,2023-10-25 09:35:35
3,Republicans pick Mike Johnson as new Speaker nominee,,2023-10-25 09:35:35
4,British model jailed in Peru over drug smuggling,,2023-10-25 09:35:35
5,"I went through hell, says elderly hostage released by Hamas",,2023-10-25 09:35:35
6,YouTuber sorry for freeloading stunt in Japan,,2023-10-25 09:35:35
7,Pilot accused of jet crash attempt cites breakdown,,2023-10-25 09:35:35
8,Big banks linked to products with pangolin parts,,2023-10-25 09:35:35
9,Black models shun Melbourne fashion week citing racism,,2023-10-25 09:35:35
10,Republicans self-destruct again in US Speaker saga,,2023-10-25 09:35:35
