order_var,value,url,scrape_date
1,Arrest made in suspected mushroom poisoning deaths,,2023-11-02 06:01:13
2,Relaxed Trump Jr cracks jokes in courtroom debut,,2023-11-02 06:01:13
3,'I don’t want to die at 24' - trapped Gaza woman,,2023-11-02 06:01:13
4,"Children must be off limits, says father of abducted kids",,2023-11-02 06:01:13
5,Zimbabwe president's relation convicted of gold-smuggling,,2023-11-02 06:01:13
6,Palestinian Americans trapped in Gaza feel 'abandoned',,2023-11-02 06:01:13
7,Cornell student in court over antisemitic threats,,2023-11-02 06:01:13
8,Cough syrup maker boss jailed after child deaths,,2023-11-02 06:01:13
9,George Santos easily survives House expulsion vote,,2023-11-02 06:01:13
10,Germany asks forgiveness for Tanzania colonial crimes,,2023-11-02 06:01:13
